model,best_epoch,best_val_acc,final_train_acc,final_val_acc
ResNet-34,90,94.4,99.98222222222222,94.4
ResNet-34-no-shortcut,100,91.84,99.67777777777778,91.36
ResNet-34-AdamW-cosine,102,93.92,99.99555555555555,93.48
