epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.1,2.1684575353834363,22.564444444444444,1.9468939785003663,27.48
2,0.1,1.6736313288794624,37.51555555487739,1.704107751083374,37.64
3,0.1,1.4253637786653306,47.33333332926432,1.3260451133728028,51.44
4,0.1,1.1978788962258233,56.29111111246745,1.1966228685379028,57.48
5,0.1,1.042781743282742,62.71555555352105,1.001864410829544,63.9
6,0.1,0.9201051830291748,67.46888888210721,0.9004497457504272,68.14
7,0.1,0.828506202284495,70.66666665852864,0.8608182956695557,69.04
8,0.1,0.7335820178667705,74.30666665852864,0.7320834528923035,74.48
9,0.1,0.6516490233527289,77.28222221544054,0.6735636367797851,76.2
10,0.1,0.5913343835406834,79.62444443630642,0.6401173310756684,77.3
11,0.1,0.5310893253326416,81.83777776963976,0.601684509730339,78.72
12,0.1,0.48643483089870876,83.32444444173177,0.5800267416119576,80.34
13,0.1,0.45650241750081383,84.09999999593099,0.5454610194206237,81.32
14,0.1,0.42122357675764294,85.64444444444445,0.5477467369556427,81.3
15,0.1,0.3898899985207452,86.5155555501302,0.46315747561454773,84.02
16,0.1,0.36672365742259555,87.34444443495009,0.4585495763897896,84.42
17,0.1,0.34006415536668566,88.15555554877388,0.4867994757503271,83.7
18,0.1,0.3200332775645786,88.80888888075087,0.4435449235215783,85.24
19,0.1,0.30353357540766396,89.56888888346354,0.3799016882896423,87.0
20,0.1,0.2852372923003303,90.01333333062065,0.4642651407837868,84.08
21,0.1,0.2713405314260059,90.55333332926432,0.43766852746009827,85.34
22,0.1,0.2561478082391951,91.06666665581598,0.3711155984148383,87.2
23,0.1,0.24733100483682421,91.32444443359375,0.4542464299678802,85.04
24,0.1,0.23555146031909519,91.79777777642144,0.37249668746590614,87.7
25,0.1,0.22318291362656487,92.18444444444444,0.4515729843869805,85.58
26,0.1,0.2133829189300537,92.46666666124132,0.34761839706152675,88.36
27,0.1,0.21236934995121426,92.57999999457465,0.3372977345049381,88.76
28,0.1,0.1977030862516827,93.0911111070421,0.374065974201262,88.36
29,0.1,0.19963201691309612,93.05111110839844,0.40706716606654225,87.44
30,0.1,0.18885315974288516,93.32888888617622,0.3518072633236647,88.82
31,0.1,0.18166223504808213,93.60666666666667,0.4173166684731841,87.16
32,0.1,0.17595857145256466,93.87777776963976,0.4468231604903936,86.46
33,0.1,0.16824505874050988,94.10222221272787,0.4636800897538662,86.04
