epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.1,3.725932786517673,10.755555555555556,667.0775483154297,11.7
2,0.1,2.2806263495551216,13.266666666666667,2.2443698509216308,14.46
3,0.1,2.1997661673227946,15.688888888888888,2.188405445098877,16.62
4,0.1,2.1557660047743057,18.31111111111111,2.138206566619873,18.74
5,0.1,2.0908776582082114,20.466666666666665,2.080420789337158,19.68
6,0.1,2.022322835710314,21.511111111111113,2.0039467697143554,23.52
7,0.1,1.9792287867863974,24.8,1.96825366897583,24.68
8,0.1,1.9175789926317004,26.91111111111111,2.0253294647216795,23.86
9,0.1,1.9234421724743314,27.68888888888889,1.8900903179168702,29.62
10,0.1,1.8469828016493055,31.177777777777777,1.866256187438965,30.54
11,0.1,1.8345564236111112,30.955555555555556,1.8585197120666503,30.74
12,0.1,1.8106946681340534,32.84444444444444,1.8026428787231445,31.96
13,0.1,1.765063720597161,33.75555555555555,1.8048542316436769,33.16
14,0.1,1.7532700265248617,34.08888888888889,1.7820099349975587,32.82
15,0.1,1.7157486708958944,35.0,1.8051963912963866,33.18
16,0.1,1.6952635498046875,37.022222222222226,1.7319241508483887,36.68
17,0.1,1.6815863615671793,37.266666666666666,1.8112533470153809,33.92
18,0.1,1.6437434828016493,38.84444444444444,1.7820060958862305,35.72
19,0.1,1.6314875692791408,39.977777777777774,1.7333896331787109,34.76
20,0.1,1.6023439027998183,41.044444444444444,1.7154394985198975,36.88
21,0.1,1.5688232556449042,41.666666666666664,1.6949762952804566,37.72
22,0.1,1.5334411755667792,43.44444444444444,1.564878776550293,42.34
23,0.1,1.508879318131341,44.13333333333333,1.6407677743911744,39.88
24,0.1,1.5264993758731418,44.13333333333333,1.617863878440857,41.76
25,0.1,1.4585099590089585,45.977777777777774,1.627846840286255,41.2
26,0.1,1.4527600639131335,46.0,1.5667929595947265,44.3
27,0.1,1.3761514386071099,49.22222222222222,1.5837812294006348,43.34
28,0.1,1.3770383469263712,50.13333333333333,1.5022249664306642,45.08
29,0.1,1.3776486746470133,49.24444444444445,1.5253476285934449,44.78
30,0.1,1.3535496960745916,51.17777777777778,1.519509154701233,45.1
31,0.1,1.3137423774931165,52.644444444444446,1.4801823440551758,46.74
32,0.1,1.2584826862547134,53.93333333333333,1.5194828369140625,46.5
33,0.1,1.260873867670695,53.55555555555556,1.4680919187545776,48.14
34,0.1,1.2544904511769612,53.333333333333336,1.4355430950164796,48.02
35,0.1,1.215703831884596,55.24444444444445,1.4495828998565674,49.2
36,0.1,1.2205045558081733,55.266666666666666,1.435568232345581,48.86
37,0.1,1.1489283156924777,58.24444444444445,1.4747019664764405,49.08
38,0.1,1.128242030037774,59.733333333333334,1.3691854099273681,51.4
39,0.1,1.0778198646969266,61.46666666666667,1.3362686380386353,52.96
40,0.1,1.0863385993109809,61.24444444444445,1.3514463817596436,52.98
41,0.1,1.0510673098034329,62.266666666666666,1.3180116416931151,53.36
42,0.1,1.0160571491453383,63.46666666666667,1.401660589981079,51.62
43,0.1,1.0120629076427883,63.644444444444446,1.3067335330963135,54.76
44,0.1,0.9644090302785238,64.95555555555555,1.342654026031494,53.7
45,0.1,1.0189906919267442,63.62222222222222,1.4037697715759276,53.44
46,0.1,0.9532332213719686,66.6,1.2255536476135254,57.98
47,0.1,0.8884781515333388,68.71111111111111,1.3240894317626952,56.44
48,0.1,0.8848994369506836,69.02222222222223,1.3628118619918823,53.74
49,0.1,0.8524812618891399,69.66666666666667,1.2525515138626098,57.54
50,0.1,0.8015627331203885,71.75555555555556,1.2272350505828857,58.68
51,0.1,0.7889644030465021,72.11111111111111,1.3552660543441772,54.34
52,0.1,0.85484841076533,69.53333333333333,1.2041129917144775,60.88
53,0.1,0.7542064099841648,72.75555555555556,1.205250877571106,60.28
54,0.1,0.6972368388705783,74.95555555555555,1.442013172340393,56.18
55,0.1,0.7136151171790229,74.37777777777778,1.3143681550979613,58.3
56,0.1,0.7133424452145894,74.5111111111111,1.12465297164917,63.2
57,0.1,0.6177595228619046,78.04444444444445,1.2844735696792602,59.24
58,0.1,0.6565478406482272,76.88888888888889,1.278767116355896,59.6
59,0.1,0.6036873949368795,78.0,1.3638243377685546,59.3
60,0.1,0.6142616253958808,78.8,1.2532960043907166,60.84
61,0.010000000000000002,0.4372401644123925,84.55555555555556,1.104445707988739,65.22
62,0.010000000000000002,0.35418515804078843,87.93333333333334,1.1370094539165496,65.54
63,0.010000000000000002,0.33246072816848754,88.4,1.1565406734466552,65.34
64,0.010000000000000002,0.31216798815462327,89.64444444444445,1.1529809121131898,66.24
65,0.010000000000000002,0.3004789850446913,89.6,1.1852000089645385,65.66
66,0.010000000000000002,0.2897294632328881,89.77777777777777,1.2035655696868897,65.4
67,0.010000000000000002,0.2724158354335361,90.5111111111111,1.2203008046150208,65.74
68,0.010000000000000002,0.2543037108315362,92.04444444444445,1.2347265390396118,65.8
69,0.010000000000000002,0.24364567772547405,91.6,1.2569661466598512,65.7
70,0.010000000000000002,0.25152515591515434,91.37777777777778,1.281890555381775,65.16
71,0.010000000000000002,0.25008474757936267,91.44444444444444,1.2850315732002258,65.7
72,0.010000000000000002,0.22364859073029625,92.57777777777778,1.2905189846992493,65.48
73,0.010000000000000002,0.20978009242481654,92.75555555555556,1.3465771946907044,65.62
74,0.010000000000000002,0.20395357169045342,93.04444444444445,1.351221293449402,65.76
75,0.010000000000000002,0.1939157154560089,93.53333333333333,1.3819614295959473,66.18
76,0.010000000000000002,0.1959980894724528,93.08888888888889,1.3902081611633301,65.56
77,0.010000000000000002,0.1916553954018487,93.4,1.4018113253593445,65.82
78,0.010000000000000002,0.17589948778682285,93.8,1.4272850574493408,65.52
79,0.010000000000000002,0.17064568963315752,93.55555555555556,1.458886838054657,66.0
80,0.010000000000000002,0.1633625722196367,94.66666666666667,1.5058678996086121,65.28
81,0.010000000000000002,0.1494787858857049,94.82222222222222,1.5329956077575684,65.72
82,0.010000000000000002,0.14773628766006894,94.66666666666667,1.5241768293380737,65.3
83,0.010000000000000002,0.13491097968154483,94.91111111111111,1.5498987474441528,65.94
84,0.010000000000000002,0.13068075405226814,95.5111111111111,1.6415328040122985,65.18
85,0.010000000000000002,0.13425678168402777,95.57777777777778,1.647743758201599,64.5
86,0.010000000000000002,0.12111961375342475,96.0,1.653813338470459,64.88
87,0.010000000000000002,0.1307082454893324,95.53333333333333,1.6509918922424316,64.58
88,0.010000000000000002,0.12339991511238946,95.77777777777777,1.6503915972709655,65.34
89,0.010000000000000002,0.10792093584272597,96.08888888888889,1.6914757117271424,64.3
90,0.010000000000000002,0.10840380202399359,96.53333333333333,1.669669247817993,65.3
91,0.0010000000000000002,0.08665721025731829,97.06666666666666,1.6231354170799255,65.98
92,0.0010000000000000002,0.07742250298791462,97.82222222222222,1.658971663761139,65.42
93,0.0010000000000000002,0.0746598103708691,97.71111111111111,1.675466660118103,66.2
94,0.0010000000000000002,0.07391925854153103,97.46666666666667,1.6775770982742308,65.18
95,0.0010000000000000002,0.06828139090538025,97.97777777777777,1.665567685508728,65.58
96,0.0010000000000000002,0.0672266030576494,98.04444444444445,1.6793195265769958,65.38
97,0.0010000000000000002,0.07077500926123725,97.86666666666666,1.6758018592834472,65.74
98,0.0010000000000000002,0.07026794094509549,97.84444444444445,1.6847434915542603,65.78
99,0.0010000000000000002,0.06312075573868221,98.0,1.6760075115203859,65.74
100,0.0010000000000000002,0.06639980406231351,97.8,1.7004033997535706,65.42
